division_code,division_title,subdivision_code,subdivision_title,group_code,group_title,class_code,class_title
C,Manufacturing,12,Beverage and Tobacco Product Manufacturing,121,Beverage Manufacturing,1211,"Soft Drink, Cordial and Syrup Manufacturing"
C,Manufacturing,12,Beverage and Tobacco Product Manufacturing,121,Beverage Manufacturing,1212,Beer Manufacturing
C,Manufacturing,12,Beverage and Tobacco Product Manufacturing,121,Beverage Manufacturing,1213,Spirit Manufacturing
C,Manufacturing,12,Beverage and Tobacco Product Manufacturing,121,Beverage Manufacturing,1214,Wine and Other Alcoholic Beverage Manufacturing
C,Manufacturing,12,Beverage and Tobacco Product Manufacturing,122,Cigarette and Tobacco Product Manufacturing,1220,Cigarette and Tobacco Product Manufacturing
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",131,Textile Manufacturing,1311,Wool Scouring
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",131,Textile Manufacturing,1312,Natural Textile Manufacturing
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",131,Textile Manufacturing,1313,Synthetic Textile Manufacturing
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",132,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",133,Textile Product Manufacturing,1331,Textile Floor Covering Manufacturing
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",133,Textile Product Manufacturing,1332,"Rope, Cordage and Twine Manufacturing"
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",133,Textile Product Manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",133,Textile Product Manufacturing,1334,Textile Finishing and Other Textile Product Manufacturing
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",134,Knitted Product Manufacturing,1340,Knitted Product Manufacturing
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",135,Clothing and Footwear Manufacturing,1351,Clothing Manufacturing
C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",135,Clothing and Footwear Manufacturing,1352,Footwear Manufacturing
C,Manufacturing,14,Wood Product Manufacturing,141,Log Sawmilling and Timber Dressing,1411,Log Sawmilling
C,Manufacturing,14,Wood Product Manufacturing,141,Log Sawmilling and Timber Dressing,1412,Wood Chipping
C,Manufacturing,14,Wood Product Manufacturing,141,Log Sawmilling and Timber Dressing,1413,Timber Resawing and Dressing
C,Manufacturing,14,Wood Product Manufacturing,149,Other Wood Product Manufacturing,1491,Prefabricated Wooden Building Manufacturing
C,Manufacturing,14,Wood Product Manufacturing,149,Other Wood Product Manufacturing,1492,Wooden Structural Fitting and Component Manufacturing
C,Manufacturing,14,Wood Product Manufacturing,149,Other Wood Product Manufacturing,1493,Veneer and Plywood Manufacturing
C,Manufacturing,14,Wood Product Manufacturing,149,Other Wood Product Manufacturing,1494,Reconstituted Wood Product Manufacturing
C,Manufacturing,14,Wood Product Manufacturing,149,Other Wood Product Manufacturing,1499,Other Wood Product Manufacturing n.e.c.
C,Manufacturing,15,"Pulp, Paper and Converted Paper Product Manufacturing",151,"Pulp, Paper and Paperboard Manufacturing",1510,"Pulp, Paper and Paperboard Manufacturing"
C,Manufacturing,15,"Pulp, Paper and Converted Paper Product Manufacturing",152,Converted Paper Product Manufacturing,1521,Corrugated Paperboard and Paperboard Container Manufacturing
C,Manufacturing,15,"Pulp, Paper and Converted Paper Product Manufacturing",152,Converted Paper Product Manufacturing,1522,Paper Bag Manufacturing
C,Manufacturing,15,"Pulp, Paper and Converted Paper Product Manufacturing",152,Converted Paper Product Manufacturing,1523,Paper Stationery Manufacturing
C,Manufacturing,15,"Pulp, Paper and Converted Paper Product Manufacturing",152,Converted Paper Product Manufacturing,1524,Sanitary Paper Product Manufacturing
C,Manufacturing,15,"Pulp, Paper and Converted Paper Product Manufacturing",152,Converted Paper Product Manufacturing,1529,Other Converted Paper Product Manufacturing
C,Manufacturing,16,Printing (including the Reproduction of Recorded Media),161,Printing and Printing Support Services,1611,Printing
C,Manufacturing,16,Printing (including the Reproduction of Recorded Media),161,Printing and Printing Support Services,1612,Printing Support Services
C,Manufacturing,16,Printing (including the Reproduction of Recorded Media),162,Reproduction of Recorded Media,1620,Reproduction of Recorded Media
C,Manufacturing,17,Petroleum and Coal Product Manufacturing,170,Petroleum and Coal Product Manufacturing,1701,Petroleum Refining and Petroleum Fuel Manufacturing
C,Manufacturing,17,Petroleum and Coal Product Manufacturing,170,Petroleum and Coal Product Manufacturing,1709,Other Petroleum and Coal Product Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,181,Basic Chemical Manufacturing,1811,Industrial Gas Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,181,Basic Chemical Manufacturing,1812,Basic Organic Chemical Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,181,Basic Chemical Manufacturing,1813,Basic Inorganic Chemical Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,182,Basic Polymer Manufacturing,1821,Synthetic Resin and Synthetic Rubber Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,182,Basic Polymer Manufacturing,1829,Other Basic Polymer Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,183,Fertiliser and Pesticide Manufacturing,1831,Fertiliser Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,183,Fertiliser and Pesticide Manufacturing,1832,Pesticide Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,184,Pharmaceutical and Medicinal Product Manufacturing,1841,Human Pharmaceutical and Medicinal Product Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,184,Pharmaceutical and Medicinal Product Manufacturing,1842,Veterinary Pharmaceutical and Medicinal Product Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,185,Cleaning Compound and Toiletry Preparation Manufacturing,1851,Cleaning Compound Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,185,Cleaning Compound and Toiletry Preparation Manufacturing,1852,Cosmetic and Toiletry Preparation Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,189,Other Basic Chemical Product Manufacturing,1891,Photographic Chemical Product Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,189,Other Basic Chemical Product Manufacturing,1892,Explosive Manufacturing
C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,189,Other Basic Chemical Product Manufacturing,1899,Other Basic Chemical Product Manufacturing n.e.c.
C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,191,Polymer Product Manufacturing,1911,Polymer Film and Sheet Packaging Material Manufacturing
C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,191,Polymer Product Manufacturing,1912,Rigid and Semi-Rigid Polymer Product Manufacturing
C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,191,Polymer Product Manufacturing,1913,Polymer Foam Product Manufacturing
C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,191,Polymer Product Manufacturing,1914,Tyre Manufacturing
C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,191,Polymer Product Manufacturing,1915,Adhesive Manufacturing
C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,191,Polymer Product Manufacturing,1916,Paint and Coatings Manufacturing
C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,191,Polymer Product Manufacturing,1919,Other Polymer Product Manufacturing
C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,192,Natural Rubber Product Manufacturing,1920,Natural Rubber Product Manufacturing
C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,201,Glass and Glass Product Manufacturing,2010,Glass and Glass Product Manufacturing
C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,202,Ceramic Product Manufacturing,2021,Clay Brick Manufacturing
C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,202,Ceramic Product Manufacturing,2029,Other Ceramic Product Manufacturing
C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,203,"Cement, Lime, Plaster and Concrete Product Manufacturing",2031,Cement and Lime Manufacturing
C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,203,"Cement, Lime, Plaster and Concrete Product Manufacturing",2032,Plaster Product Manufacturing
C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,203,"Cement, Lime, Plaster and Concrete Product Manufacturing",2033,Ready-Mixed Concrete Manufacturing
C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,203,"Cement, Lime, Plaster and Concrete Product Manufacturing",2034,Concrete Product Manufacturing
C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,209,Other Non-Metallic Mineral Product Manufacturing,2090,Other Non-Metallic Mineral Product Manufacturing
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,211,Basic Ferrous Metal Manufacturing,2110,Iron Smelting and Steel Manufacturing
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,212,Basic Ferrous Metal Product Manufacturing,2121,Iron and Steel Casting
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,212,Basic Ferrous Metal Product Manufacturing,2122,Steel Pipe and Tube Manufacturing
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,213,Basic Non-Ferrous Metal Manufacturing,2131,Alumina Production
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,213,Basic Non-Ferrous Metal Manufacturing,2132,Aluminium Smelting
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,213,Basic Non-Ferrous Metal Manufacturing,2133,"Copper, Silver, Lead and Zinc Smelting and Refining"
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,213,Basic Non-Ferrous Metal Manufacturing,2139,Other Basic Non-Ferrous Metal Manufacturing
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,214,Basic Non-Ferrous Metal Product Manufacturing,2141,Non-Ferrous Metal Casting
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,214,Basic Non-Ferrous Metal Product Manufacturing,2142,"Aluminium Rolling, Drawing, Extruding"
C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,214,Basic Non-Ferrous Metal Product Manufacturing,2149,Other Basic Non-Ferrous Metal Product Manufacturing
C,Manufacturing,22,Fabricated Metal Product Manufacturing,221,Iron and Steel Forging,2210,Iron and Steel Forging
C,Manufacturing,22,Fabricated Metal Product Manufacturing,222,Structural Metal Product Manufacturing,2221,Structural Steel Fabricating
C,Manufacturing,22,Fabricated Metal Product Manufacturing,222,Structural Metal Product Manufacturing,2222,Prefabricated Metal Building Manufacturing
C,Manufacturing,22,Fabricated Metal Product Manufacturing,222,Structural Metal Product Manufacturing,2223,Architectural Aluminium Product Manufacturing
C,Manufacturing,22,Fabricated Metal Product Manufacturing,222,Structural Metal Product Manufacturing,2224,Metal Roof and Guttering Manufacturing (except Aluminium)
C,Manufacturing,22,Fabricated Metal Product Manufacturing,222,Structural Metal Product Manufacturing,2229,Other Structural Metal Product Manufacturing
C,Manufacturing,22,Fabricated Metal Product Manufacturing,223,Metal Container Manufacturing,2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing"
C,Manufacturing,22,Fabricated Metal Product Manufacturing,223,Metal Container Manufacturing,2239,Other Metal Container Manufacturing
C,Manufacturing,22,Fabricated Metal Product Manufacturing,224,Sheet Metal Product Manufacturing (except Metal Structural and Container Products),2240,Sheet Metal Product Manufacturing (except Metal Structural and Container
C,Manufacturing,22,Fabricated Metal Product Manufacturing,229,Other Fabricated Metal Product Manufacturing,2291,Spring and Wire Product Manufacturing
C,Manufacturing,22,Fabricated Metal Product Manufacturing,229,Other Fabricated Metal Product Manufacturing,2292,"Nut, Bolt, Screw and Rivet Manufacturing"
C,Manufacturing,22,Fabricated Metal Product Manufacturing,229,Other Fabricated Metal Product Manufacturing,2293,Metal Coating and Finishing
C,Manufacturing,22,Fabricated Metal Product Manufacturing,229,Other Fabricated Metal Product Manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C,Manufacturing,23,Transport Equipment Manufacturing,231,Motor Vehicle and Motor Vehicle Part Manufacturing,2311,Motor Vehicle Manufacturing
C,Manufacturing,23,Transport Equipment Manufacturing,231,Motor Vehicle and Motor Vehicle Part Manufacturing,2312,Motor Vehicle Body and Trailer Manufacturing
C,Manufacturing,23,Transport Equipment Manufacturing,231,Motor Vehicle and Motor Vehicle Part Manufacturing,2313,Automotive Electrical Component Manufacturing
C,Manufacturing,23,Transport Equipment Manufacturing,231,Motor Vehicle and Motor Vehicle Part Manufacturing,2319,Other Motor Vehicle Parts Manufacturing
C,Manufacturing,23,Transport Equipment Manufacturing,239,Other Transport Equipment Manufacturing,2391,Shipbuilding and Repair Services
C,Manufacturing,23,Transport Equipment Manufacturing,239,Other Transport Equipment Manufacturing,2392,Boatbuilding and Repair Services
C,Manufacturing,23,Transport Equipment Manufacturing,239,Other Transport Equipment Manufacturing,2393,Railway Rolling Stock Manufacturing and Repair Services
C,Manufacturing,23,Transport Equipment Manufacturing,239,Other Transport Equipment Manufacturing,2394,Aircraft Manufacturing and Repair Services
C,Manufacturing,23,Transport Equipment Manufacturing,239,Other Transport Equipment Manufacturing,2399,Other Transport Equipment Manufacturing n.e.c.
C,Manufacturing,24,Machinery and Equipment Manufacturing,241,Professional and Scientific Equipment Manufacturing,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
C,Manufacturing,24,Machinery and Equipment Manufacturing,241,Professional and Scientific Equipment Manufacturing,2412,Medical and Surgical Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,241,Professional and Scientific Equipment Manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,242,Computer and Electronic Equipment Manufacturing,2421,Computer and Electronic Office Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,242,Computer and Electronic Equipment Manufacturing,2422,Communication Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,242,Computer and Electronic Equipment Manufacturing,2429,Other Electronic Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,243,Electrical Equipment Manufacturing,2431,Electric Cable and Wire Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,243,Electrical Equipment Manufacturing,2432,Electric Lighting Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,243,Electrical Equipment Manufacturing,2439,Other Electrical Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,244,Domestic Appliance Manufacturing,2441,Whiteware Appliance Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,244,Domestic Appliance Manufacturing,2449,Other Domestic Appliance Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,245,"Pump, Compressor, Heating and Ventilation Equipment Manufacturing",2451,Pump and Compressor Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,245,"Pump, Compressor, Heating and Ventilation Equipment Manufacturing",2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
C,Manufacturing,24,Machinery and Equipment Manufacturing,246,Specialised Machinery and Equipment Manufacturing,2461,Agricultural Machinery and Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,246,Specialised Machinery and Equipment Manufacturing,2462,Mining and Construction Machinery Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,246,Specialised Machinery and Equipment Manufacturing,2463,Machine Tool and Parts Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,246,Specialised Machinery and Equipment Manufacturing,2469,Other Specialised Machinery and Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,249,Other Machinery and Equipment Manufacturing,2491,Lifting and Material Handling Equipment Manufacturing
C,Manufacturing,24,Machinery and Equipment Manufacturing,249,Other Machinery and Equipment Manufacturing,2499,Other Machinery and Equipment Manufacturing n.e.c.
C,Manufacturing,25,Furniture and Other Manufacturing,251,Furniture Manufacturing,2511,Wooden Furniture and Upholstered Seat Manufacturing
C,Manufacturing,25,Furniture and Other Manufacturing,251,Furniture Manufacturing,2512,Metal Furniture Manufacturing
C,Manufacturing,25,Furniture and Other Manufacturing,251,Furniture Manufacturing,2513,Mattress Manufacturing
C,Manufacturing,25,Furniture and Other Manufacturing,251,Furniture Manufacturing,2519,Other Furniture Manufacturing
C,Manufacturing,25,Furniture and Other Manufacturing,259,Other Manufacturing,2591,Jewellery and Silverware Manufacturing
C,Manufacturing,25,Furniture and Other Manufacturing,259,Other Manufacturing,2592,"Toy, Sporting and Recreational Product Manufacturing"
C,Manufacturing,25,Furniture and Other Manufacturing,259,Other Manufacturing,2599,Other Manufacturing n.e.c.
D,"Electricity, Gas, Water and Waste Services",26,Electricity Supply,261,Electricity Generation,2611,Fossil Fuel Electricity Generation
D,"Electricity, Gas, Water and Waste Services",26,Electricity Supply,261,Electricity Generation,2612,Hydro-Electricity Generation
D,"Electricity, Gas, Water and Waste Services",26,Electricity Supply,261,Electricity Generation,2619,Other Electricity Generation
D,"Electricity, Gas, Water and Waste Services",26,Electricity Supply,262,Electricity Transmission,2620,Electricity Transmission
D,"Electricity, Gas, Water and Waste Services",26,Electricity Supply,263,Electricity Distribution,2630,Electricity Distribution
D,"Electricity, Gas, Water and Waste Services",26,Electricity Supply,264,On Selling Electricity and Electricity Market Operation,2640,On Selling Electricity and Electricity Market Operation
D,"Electricity, Gas, Water and Waste Services",27,Gas Supply,270,Gas Supply,2700,Gas Supply
D,"Electricity, Gas, Water and Waste Services",28,"Water Supply, Sewerage and Drainage Services",281,"Water Supply, Sewerage and Drainage Services",2811,Water Supply
D,"Electricity, Gas, Water and Waste Services",28,"Water Supply, Sewerage and Drainage Services",281,"Water Supply, Sewerage and Drainage Services",2812,Sewerage and Drainage Services
D,"Electricity, Gas, Water and Waste Services",29,"Waste Collection, Treatment and Disposal Services",291,Waste Collection Services,2911,Solid Waste Collection Services
